Burka	Bur
interesantka	interesant
kajakarka	kajakarz
bernenka	berneńczyk
mocodawczyni	mocodawca
kompanka	kompan
multimiliarderka	multimiliarder
impertynentka	impertynent
ekstrawertyczka	ekstrawertyk
ortoptystka	ortoptysta
ortorektyczka	ortorektyk
współzałożycielka	współzałożyciel
lamparcica	lampart
pięknisia	piękniś
Ormianka	Ormianin
Czeremiska	Czeremis
olimpijka	olimpijczyk
modniarka	modniarz
opatka	opat
poganka	poganin
uwięziona	uwięziony
mediewistka	mediewista
wodzisławianka	wodzisławianin
zetempówka	zetempowiec
przejeżdżająca	przejeżdżający
zmienniczka	zmiennik
liverpoolka	liverpoolczyk
Bahamka	Bahamczyk
Jukagirka	Jukagir
birbantka	birbant
zarażona	zarażony
deprawatorka	deprawator
rozkosznica	rozkosznik
tłuścioszka	tłuścioch
kolorystka	kolorysta
brudaska	brudas
kantorka	kantor
szynkarka	szynkarz
pozwana	pozwany
baletnica	baletnik
dziennikarka	dziennikarz
skrupulatka	skrupulat
brukselka	brukselczyk
koleżanka	kolega
borsuczyca	borsuk
współmałżonka	współmałżonek
chorzowianka	chorzowianin
audytorka	audytor
sosnowiczanka	sosnowiczanin
akwaforcistka	akwaforcista
rezydentka	rezydent
fornalka	fornal
Aborygenka	Aborygen
pyskowiczanka	pyskowiczanin
frutarianka	frutarianin
Szwedka	Szwed
bobowianka	bobowianin
literaturoznawczyni	literaturoznawca
flagelantka	flagelant
ciechanowianka	ciechanowianin
Galicjanka	Galicjanin
gosprzydowianka	gosprzydowianin
ambasadorka	ambasador
budapesztenka	budapeszteńczyk
kumoszka	kumoter
szachrajka	szachraj
monarchistka	monarchista
oswobodzicielka	oswobodziciel
łańcucianka	łańcucianin
anabaptystka	anabaptysta
pieśniarka	pieśniarz
służąca	służący
nestorianka	nestorianin
bibliolożka	bibliolog
dżudoczka	dżudoka
bakteriolożka	bakteriolog
portrecistka	portrecista
myślicielka	myśliciel
dietetyczka	dietetyk
paralotniarka	paralotniarz
dzikuska	dzikus
kibicka	kibic
Laponka	Lapończyk
trzebinianka	trzebinianin
kara	kary
porządnisia	porządniś
wojowniczka	wojownik
Ślunzoczka	Ślunzok
tygrysica	tygrys
szerzycielka	szerzyciel
współwładczyni	współwładca
przybywająca	przybywający
edukatorka	edukator
Aszkenazyjka	Aszkenazyjczyk
konfirmantka	konfirmant
dypsomanka	dypsoman
euroentuzjastka	euroentuzjasta
gnębicielka	gnębiciel
królobójczyni	królobójca
prymistka	prymista
golkiperka	golkiper
wieśniaczka	wieśniak
ewangeliczka	ewangelik
kilkulatka	kilkulatek
tłumaczka	tłumacz
krwiodawczyni	krwiodawca
pilotka	pilot
wiceszefowa	wiceszef
lublinianka	lublinianin
wygodnicka	wygodnicki
Węgierka	Węgier
Normandka	Normandczyk
opozycjonistka	opozycjonista
Tuwinka	Tuwiniec
suwałczanka	suwałczanin
gorzyczanka	gorzyczanin
prześmiewczyni	prześmiewca
doktorantka	doktorant
pallotynka	pallotyn
podopieczna	podopieczny
impresjonistka	impresjonista
traperka	traper
Pomorzanka	Pomorzanin
gastarbeiterka	gastarbeiter
trzecioklasistka	trzecioklasista
podróżniczka	podróżnik
filozofka	filozof
frajerka	frajer
turczanka	turczanin
tancerka	tancerz
astrolożka	astrolog
Uzbijka	Uzbek
współpasażerka	współpasażer
Seszelka	Seszelczyk
referentka	referent
czyściocha	czyścioch
Hawajka	Hawajczyk
dealerka	dealer
Karaimka	Karaim
amerykanistka	amerykanista
jaroszka	jarosz
bartoszyczanka	bartoszyczanin
hodowczyni	hodowca
złotniczka	złotnik
transwestytka	transwestyta
krzanowiczanka	krzanowiczanin
tryumfatorka	tryumfator
internistka	internista
belgradka	belgradczyk
recydywistka	recydywista
Wietnamka	Wietnamczyk
inteligentka	inteligent
Alzatka	Alzatczyk
Bhutanka	Bhutańczyk
nacjonalistka	nacjonalista
Bermudka	Bermudczyk
piekarka	piekarz
zegarmistrzyni	zegarmistrz
respondentka	respondent
suplikantka	suplikant
gimnastyczka	gimnastyk
skierniewiczanka	skierniewiczanin
seminarzystka	seminarzysta
izraelitka	izraelita
radzionkowianka	radzionkowianin
objawicielka	objawiciel
lotniczka	lotnik
baloniarka	baloniarz
szwaczka	szwacz
włoszakowiczanka	włoszakowiczanin
triathlonistka	triathlonista
korektorka	korektor
pasjonatka	pasjonat
najemczyni	najemca
uzdrowicielka	uzdrowiciel
pobożnisia	pobożniś
kompozytorka	kompozytor
dżinistka	dżinista
straganówka	straganowiec
plantatorka	plantator
żyrardowianka	żyrardowianin
wampirzyca	wampir
hufcowa	hufcowy
chorąża	chorąży
strzelczyni	strzelec
biłgorajka	biłgorajczyk
biometeorolożka	biometeorolog
ekumenistka	ekumenista
Czuwaszka	Czuwasz
intrygantka	intrygant
Sardynka	Sardyńczyk
dżudoczka	dżudok
harcmistrzyni	harcmistrz
publicystka	publicysta
Mołdawianka	Mołdawianin
oblatka	oblat
ceramiczka	ceramik
koicielka	koiciel
metodyczka	metodyk
gościówa	gość
semiwegetarianka	semiwegetarianin
dostojniczka	dostojnik
awangardzistka	awangardzista
obrończyni	obrońca
pasłęczanka	pasłęczanin
kaskaderka	kaskader
poprzedniczka	poprzednik
konceptualistka	konceptualista
łowczyni	łowca
pasażerka	pasażer
charcica	chart
kombatantka	kombatant
kicia	kiciuś
ryzykantka	ryzykant
piotrkowianka	piotrkowianin
zainteresowana	zainteresowany
posługaczka	posługacz
projektantka	projektant
prześladowczyni	prześladowca
wystawczyni	wystawca
felczerka	felczer
komorniczka	komornik
artystka	artysta
Saudyjka	Saudyjczyk
siwa	siwy
szamanka	szaman
chłopka	chłop
czcicielka	czciciel
nowelizatorka	nowelizator
przejezdna	przejezdny
składaczka	składacz
paralityczka	paralityk
zaklinaczka	zaklinacz
anglistka	anglista
Lankijka	Lankijczyk
Tunezyjka	Tunezyjczyk
norbertanka	norbertanin
zauszniczka	zausznik
podejrzana	podejrzany
stenotypistka	stenotypista
kaliszanka	kaliszanin
choreografka	choreograf
pomocnica	pomocnik
dypsomaniaczka	dypsomaniak
biegła sądowa	biegły sądowy
Filipinka	Filipińczyk
tancmistrzyni	tancmistrz
lubelaczka	lubelak
przedstawicielka	przedstawiciel
skarbniczka	skarbnik
